W/L,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,O-FG,O-FGA,O-FG%,O-3P,O-3PA,O-3P%,O-FT,O-FTA,O-FT%,O-ORB,O-TRB,O-AST,O-STL,O-BLK,O-TOV,O-PF
L,35,80,0.438,14,39,0.359,16,18,0.889,8,36,22,8,5,13,17,48,88,0.545,11,33,0.333,14,19,0.737,8,44,27,7,7,11,14
W,37,78,0.474,17,41,0.415,15,18,0.833,9,49,20,3,3,20,15,42,94,0.447,12,33,0.364,6,9,0.667,11,39,26,12,3,10,15
W,44,88,0.5,11,36,0.306,11,16,0.688,14,50,22,10,5,15,11,42,90,0.467,5,18,0.278,10,10,1,8,37,25,10,4,13,13
W,49,88,0.557,18,41,0.439,10,14,0.714,7,53,24,5,2,14,20,37,92,0.402,7,23,0.304,13,20,0.65,9,35,22,7,5,7,13
W,43,89,0.483,21,46,0.457,20,23,0.87,9,38,27,9,3,10,20,43,83,0.518,17,38,0.447,17,20,0.85,9,38,31,8,3,17,16
W,45,85,0.529,15,38,0.395,19,21,0.905,7,49,28,7,4,17,13,43,98,0.439,18,51,0.353,12,17,0.706,9,40,25,11,3,8,15
L,41,91,0.451,13,44,0.295,21,24,0.875,13,48,14,7,1,14,20,41,88,0.466,14,42,0.333,23,25,0.92,9,41,26,8,2,10,20
L,35,85,0.412,12,40,0.3,16,21,0.762,15,53,15,4,4,10,22,40,91,0.44,13,32,0.406,12,17,0.706,9,39,17,7,6,5,18
W,40,93,0.43,13,39,0.333,16,21,0.762,17,53,23,9,3,11,17,36,84,0.429,6,19,0.316,15,16,0.938,10,45,13,6,2,15,20
W,41,86,0.477,18,39,0.462,21,25,0.84,9,50,28,9,3,16,14,42,90,0.467,9,30,0.3,6,10,0.6,5,39,24,10,5,12,22
L,37,92,0.402,12,33,0.364,14,17,0.824,6,40,23,6,3,6,18,43,94,0.457,19,50,0.38,15,19,0.789,12,59,24,3,3,11,16
W,47,102,0.461,19,45,0.422,15,23,0.652,11,45,27,10,5,13,20,45,87,0.517,11,35,0.314,25,32,0.781,10,42,27,5,5,16,22
W,43,92,0.467,16,46,0.348,13,15,0.867,7,45,27,9,6,9,16,41,87,0.471,10,27,0.37,15,18,0.833,6,41,20,6,5,14,14
L,32,76,0.421,12,38,0.316,29,34,0.853,5,41,14,5,4,17,17,47,95,0.495,18,38,0.474,16,22,0.727,11,47,30,13,6,10,25
W,40,92,0.435,20,43,0.465,23,30,0.767,8,51,23,11,3,10,27,31,79,0.392,7,35,0.2,29,33,0.879,3,44,19,4,9,15,28
L,41,98,0.418,14,43,0.326,26,33,0.788,12,40,16,7,2,12,27,49,88,0.557,13,34,0.382,26,34,0.765,11,53,23,4,7,15,24
L,39,94,0.415,19,51,0.373,11,17,0.647,10,46,23,8,3,11,16,40,91,0.44,16,41,0.39,15,18,0.833,11,52,27,5,5,15,19
W,49,90,0.544,18,41,0.439,19,23,0.826,6,44,25,10,6,15,23,39,93,0.419,14,41,0.341,25,33,0.758,15,48,24,11,4,16,19
W,44,100,0.44,17,41,0.415,20,23,0.87,9,50,26,10,5,8,27,33,81,0.407,8,30,0.267,25,35,0.714,6,47,21,4,5,15,20
W,38,83,0.458,14,42,0.333,22,25,0.88,8,42,18,9,6,13,14,40,89,0.449,19,47,0.404,12,12,1,7,43,27,6,5,15,22
W,44,90,0.489,23,48,0.479,21,27,0.778,12,38,28,9,8,8,24,44,84,0.524,19,38,0.5,19,26,0.731,8,42,35,4,2,13,18
L,32,87,0.368,13,43,0.302,10,10,1,14,43,16,8,5,18,22,44,92,0.478,9,30,0.3,14,18,0.778,13,50,29,11,5,12,13
W,40,103,0.388,15,44,0.341,17,20,0.85,17,55,18,6,8,7,20,38,87,0.437,6,30,0.2,24,28,0.857,7,48,24,4,6,13,22
L,39,90,0.433,10,35,0.286,16,19,0.842,8,34,20,9,6,13,15,48,90,0.533,15,33,0.455,14,16,0.875,12,48,33,6,6,12,17
W,39,83,0.47,17,46,0.37,21,23,0.913,9,39,19,5,8,11,16,39,86,0.453,12,29,0.414,23,25,0.92,13,47,20,9,0,12,20
L,46,98,0.469,14,41,0.341,16,21,0.762,15,50,17,6,3,8,23,43,84,0.512,18,40,0.45,21,35,0.6,9,43,25,5,6,8,19
L,39,93,0.419,17,41,0.415,6,8,0.75,10,49,16,6,7,15,16,38,90,0.422,13,47,0.277,15,18,0.833,10,47,19,8,7,13,12
W,45,88,0.511,17,42,0.405,16,19,0.842,9,35,20,11,1,8,17,43,85,0.506,21,45,0.467,15,15,1,11,43,31,5,2,15,14
L,39,104,0.375,15,42,0.357,13,13,1,14,45,19,8,6,11,10,53,96,0.552,21,42,0.5,7,12,0.583,9,53,38,10,7,12,13
W,44,95,0.463,21,46,0.457,23,23,1,14,44,19,6,1,9,19,46,83,0.554,16,40,0.4,13,17,0.765,6,39,32,2,5,13,21
W,45,98,0.459,13,31,0.419,18,23,0.783,19,53,17,8,5,11,18,39,81,0.481,7,27,0.259,20,24,0.833,8,37,19,6,3,18,15
L,37,89,0.416,17,47,0.362,8,16,0.5,11,41,15,7,7,11,15,44,88,0.5,13,30,0.433,9,13,0.692,8,51,20,5,5,14,19
W,35,90,0.389,18,46,0.391,18,19,0.947,9,54,18,6,6,8,17,37,88,0.42,11,35,0.314,12,22,0.545,10,53,22,7,3,10,11
W,40,93,0.43,17,38,0.447,21,23,0.913,15,47,15,5,2,8,21,42,86,0.488,6,27,0.222,24,29,0.828,11,46,20,6,5,9,20
W,43,83,0.518,13,35,0.371,30,33,0.909,9,45,16,3,4,14,29,38,87,0.437,8,23,0.348,26,37,0.703,10,41,20,6,3,11,21
W,45,85,0.529,18,40,0.45,13,19,0.684,10,36,15,7,2,15,23,40,81,0.494,14,41,0.341,24,25,0.96,10,35,19,5,6,12,21
W,42,96,0.438,20,47,0.426,11,17,0.647,15,54,26,6,8,10,23,37,85,0.435,10,33,0.303,20,27,0.741,7,46,23,6,3,11,16
W,46,90,0.511,18,41,0.439,16,18,0.889,7,31,26,6,7,9,19,43,89,0.483,15,32,0.469,23,29,0.793,18,51,25,5,1,11,15
L,37,103,0.359,19,55,0.345,18,25,0.72,17,50,19,10,7,12,22,45,89,0.506,6,26,0.231,22,29,0.759,12,54,23,8,3,17,19
L,37,84,0.44,12,39,0.308,14,19,0.737,13,46,15,6,6,16,17,50,99,0.505,16,33,0.485,16,18,0.889,13,43,29,6,5,7,13
