W/L,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,O-FG,O-FGA,O-FG%,O-3P,O-3PA,O-3P%,O-FT,O-FTA,O-FT%,O-ORB,O-TRB,O-AST,O-STL,O-BLK,O-TOV,O-PF
W,49,97,0.505,13,26,0.5,23,27,0.852,10,51,31,5,7,14,18,45,107,0.421,15,40,0.375,23,25,0.92,11,44,37,12,8,11,20
L,37,81,0.457,7,29,0.241,26,32,0.813,7,39,20,11,6,19,22,39,83,0.47,5,26,0.192,28,31,0.903,8,41,27,10,4,18,25
L,35,89,0.393,15,46,0.326,27,29,0.931,8,40,26,8,6,8,22,42,82,0.512,9,22,0.409,25,29,0.862,7,45,24,3,6,11,20
L,38,84,0.452,11,28,0.393,20,25,0.8,6,35,27,5,7,16,17,40,81,0.494,12,24,0.5,18,22,0.818,4,38,26,12,2,18,22
L,44,91,0.484,8,29,0.276,18,21,0.857,8,34,27,8,1,19,19,50,88,0.568,15,35,0.429,15,16,0.938,6,39,27,10,6,19,19
W,47,83,0.566,8,25,0.32,12,16,0.75,4,27,27,18,8,11,16,43,83,0.518,11,28,0.393,14,15,0.933,11,43,29,8,1,25,18
L,41,90,0.456,14,39,0.359,7,12,0.583,11,34,27,12,3,14,17,45,77,0.584,12,28,0.429,11,16,0.688,6,41,27,6,5,19,13
L,37,88,0.42,8,36,0.222,18,21,0.857,10,44,22,7,4,16,27,34,76,0.447,7,22,0.318,30,39,0.769,6,44,20,10,5,15,20
W,46,87,0.529,13,28,0.464,17,21,0.81,9,45,25,9,6,15,18,43,91,0.473,12,31,0.387,13,17,0.765,10,40,28,9,4,16,17
L,39,90,0.433,17,42,0.405,11,13,0.846,10,39,28,8,9,11,13,45,97,0.464,15,28,0.536,16,19,0.842,17,54,32,7,7,10,15
L,43,84,0.512,9,32,0.281,20,25,0.8,4,34,29,10,3,16,28,42,87,0.483,9,27,0.333,31,40,0.775,15,50,22,10,2,16,20
W,52,89,0.584,20,36,0.556,13,19,0.684,9,47,38,7,9,16,17,41,92,0.446,9,34,0.265,19,20,0.95,10,36,22,10,4,11,17
W,38,98,0.388,15,45,0.333,18,20,0.9,13,50,27,8,10,14,22,39,97,0.402,9,37,0.243,19,23,0.826,13,51,27,7,7,14,19
L,45,111,0.405,12,50,0.24,11,12,0.917,11,40,27,8,3,6,16,53,94,0.564,24,39,0.615,10,15,0.667,8,55,35,3,5,15,16
W,45,97,0.464,15,34,0.441,11,14,0.786,11,37,25,7,8,10,20,44,83,0.53,11,28,0.393,12,19,0.632,5,41,29,8,9,15,18
W,38,87,0.437,20,47,0.426,13,18,0.722,13,49,26,9,10,10,17,39,95,0.411,8,35,0.229,8,14,0.571,15,51,17,4,4,15,18
L,44,93,0.473,12,30,0.4,24,33,0.727,7,37,32,11,6,14,18,55,99,0.556,10,19,0.526,12,18,0.667,12,55,30,5,8,18,24
L,34,85,0.4,11,37,0.297,8,12,0.667,11,48,23,7,4,13,23,32,78,0.41,10,32,0.313,18,28,0.643,8,42,22,5,4,11,14
L,38,82,0.463,10,33,0.303,11,19,0.579,9,48,29,7,6,20,21,43,95,0.453,8,31,0.258,20,29,0.69,11,44,27,16,3,10,16
W,52,94,0.553,12,29,0.414,23,26,0.885,11,44,27,10,6,13,22,48,99,0.485,10,29,0.345,27,32,0.844,18,46,22,6,6,17,21
L,38,88,0.432,9,30,0.3,12,16,0.75,6,33,20,15,12,14,17,44,94,0.468,14,33,0.424,11,14,0.786,14,57,28,9,5,20,12
W,55,93,0.591,14,28,0.5,17,19,0.895,7,35,32,6,7,13,28,48,91,0.527,10,28,0.357,31,40,0.775,13,42,30,7,2,12,17
W,38,92,0.413,11,33,0.333,24,28,0.857,11,49,26,8,10,14,24,38,90,0.422,6,24,0.25,24,31,0.774,12,50,23,3,8,15,22
W,52,99,0.525,13,37,0.351,15,17,0.882,15,53,35,5,10,12,16,53,115,0.461,6,20,0.3,13,19,0.684,24,50,27,11,6,6,12
L,44,96,0.458,9,40,0.225,18,22,0.818,9,42,14,9,5,12,17,48,89,0.539,13,28,0.464,17,19,0.895,6,48,34,10,5,14,20
W,50,94,0.532,15,36,0.417,17,22,0.773,11,48,28,10,6,18,16,48,104,0.462,10,34,0.294,18,22,0.818,16,47,22,12,6,15,17
L,41,105,0.39,13,39,0.333,16,17,0.941,14,43,23,13,3,10,19,42,87,0.483,16,42,0.381,19,24,0.792,10,56,22,5,6,20,19
L,45,92,0.489,10,32,0.313,17,20,0.85,8,41,33,7,5,12,27,45,92,0.489,13,32,0.406,26,34,0.765,14,51,20,8,7,10,19
L,34,104,0.327,8,34,0.235,18,27,0.667,14,54,20,4,7,7,27,36,84,0.429,8,28,0.286,29,35,0.829,9,57,27,4,4,12,23
W,46,101,0.455,14,40,0.35,16,20,0.8,14,47,30,13,7,11,16,48,104,0.462,9,29,0.31,11,16,0.688,17,55,26,8,3,17,18
W,40,96,0.417,10,32,0.313,25,35,0.714,9,39,28,10,9,4,21,39,96,0.406,10,34,0.294,21,26,0.808,15,62,26,3,7,18,25
W,50,91,0.549,15,32,0.469,16,18,0.889,5,48,28,3,5,13,20,40,101,0.396,10,32,0.313,22,28,0.786,15,51,22,9,3,6,14
L,40,86,0.465,10,30,0.333,22,28,0.786,7,38,25,6,12,13,17,50,106,0.472,20,35,0.571,13,16,0.813,20,57,26,6,5,13,19
L,41,96,0.427,11,39,0.282,20,21,0.952,7,38,23,8,6,10,23,47,89,0.528,12,35,0.343,24,28,0.857,8,50,35,3,5,13,19
W,57,87,0.655,21,33,0.636,17,22,0.773,3,53,41,7,11,17,22,38,111,0.342,8,38,0.211,11,23,0.478,21,48,23,8,4,14,15
L,53,107,0.495,14,27,0.519,21,25,0.84,14,45,28,8,6,17,17,63,103,0.612,9,22,0.409,19,24,0.792,9,44,50,10,7,16,19
L,36,83,0.434,9,25,0.36,12,17,0.706,10,48,26,8,6,22,13,43,95,0.453,8,32,0.25,10,14,0.714,12,48,21,16,7,11,14
W,54,87,0.621,8,20,0.4,17,19,0.895,4,36,35,11,4,15,19,48,94,0.511,15,37,0.405,15,18,0.833,10,34,27,8,6,12,17
L,50,104,0.481,7,29,0.241,25,30,0.833,8,49,33,11,5,13,24,49,110,0.445,9,32,0.281,26,30,0.867,15,60,26,7,9,15,24
W,44,88,0.5,11,27,0.407,12,16,0.75,10,47,32,7,13,11,21,33,93,0.355,13,39,0.333,23,30,0.767,15,50,21,8,2,10,13
W,37,83,0.446,14,41,0.341,15,16,0.938,7,45,28,7,6,13,15,38,87,0.437,8,26,0.308,10,14,0.714,5,35,23,9,5,11,17
L,50,110,0.455,21,43,0.488,12,15,0.8,12,40,34,6,2,7,22,54,94,0.574,11,30,0.367,23,31,0.742,10,51,34,5,6,12,10
L,46,89,0.517,9,33,0.273,14,19,0.737,8,37,28,10,8,13,23,41,86,0.477,11,29,0.379,29,36,0.806,11,45,25,5,3,13,15
W,48,95,0.505,15,37,0.405,14,18,0.778,10,47,34,8,3,13,19,39,97,0.402,12,38,0.316,23,29,0.793,16,48,21,8,4,12,12
L,47,98,0.48,8,29,0.276,20,24,0.833,10,46,28,6,11,15,25,45,102,0.441,10,31,0.323,24,31,0.774,18,54,27,5,7,14,29
L,37,81,0.457,11,36,0.306,23,31,0.742,10,32,25,7,1,13,20,41,74,0.554,19,38,0.5,20,24,0.833,9,38,32,9,4,18,32
W,46,87,0.529,14,31,0.452,18,32,0.563,11,52,31,8,7,14,18,39,86,0.453,16,39,0.41,17,23,0.739,5,38,25,8,3,15,25
L,44,81,0.543,11,28,0.393,16,20,0.8,7,39,27,7,5,19,18,46,94,0.489,16,33,0.485,17,22,0.773,12,37,33,9,2,10,18
L,39,86,0.453,12,29,0.414,13,16,0.813,8,38,28,7,1,11,25,37,76,0.487,13,35,0.371,19,21,0.905,8,37,24,1,4,17,20
W,45,92,0.489,19,45,0.422,15,21,0.714,13,43,34,6,4,15,11,44,85,0.518,10,31,0.323,11,16,0.688,9,36,30,11,6,14,17
W,41,79,0.519,8,25,0.32,33,45,0.733,10,42,22,9,2,14,27,42,91,0.462,11,34,0.324,21,27,0.778,10,42,24,8,4,14,31
L,43,97,0.443,15,44,0.341,16,21,0.762,9,47,25,8,1,13,27,42,87,0.483,16,40,0.4,24,31,0.774,7,44,27,12,7,13,21
W,45,90,0.5,12,33,0.364,13,15,0.867,15,45,28,11,7,17,12,43,103,0.417,11,35,0.314,6,10,0.6,20,48,23,8,4,16,19
W,45,84,0.536,15,35,0.429,9,12,0.75,8,43,23,11,4,12,25,32,74,0.432,6,21,0.286,19,25,0.76,8,36,19,4,1,16,15
L,44,88,0.5,18,37,0.486,10,16,0.625,9,32,28,12,5,13,18,48,79,0.608,16,32,0.5,10,15,0.667,8,41,31,6,6,18,18
W,41,90,0.456,11,37,0.297,21,27,0.778,10,50,29,11,5,13,23,38,81,0.469,11,29,0.379,17,24,0.708,5,43,29,9,4,19,25
L,40,100,0.4,14,37,0.378,11,15,0.733,23,52,25,6,6,9,23,39,76,0.513,15,37,0.405,16,28,0.571,7,36,24,7,6,13,21
W,46,105,0.438,14,42,0.333,13,14,0.929,18,58,29,11,3,14,22,36,86,0.419,14,43,0.326,15,23,0.652,9,41,22,8,4,19,15
W,53,103,0.515,6,26,0.231,18,19,0.947,10,43,32,12,1,9,15,47,94,0.5,17,44,0.386,15,15,1,9,45,30,7,4,16,23
W,40,97,0.412,15,36,0.417,25,32,0.781,12,65,22,4,3,16,20,41,102,0.402,16,53,0.302,14,18,0.778,7,50,26,8,4,9,31
W,40,79,0.506,15,35,0.429,22,28,0.786,14,49,25,9,4,16,20,41,84,0.488,11,32,0.344,20,24,0.833,8,34,26,11,4,11,22
W,42,92,0.457,14,43,0.326,11,11,1,12,49,29,14,4,13,12,30,80,0.375,13,45,0.289,9,11,0.818,6,38,24,6,3,16,13
L,41,78,0.526,14,31,0.452,13,20,0.65,7,37,25,8,5,15,15,44,81,0.543,10,23,0.435,21,26,0.808,9,41,29,8,1,12,18
W,47,87,0.54,18,28,0.643,16,19,0.842,7,39,28,8,2,8,27,32,75,0.427,20,47,0.426,33,39,0.846,10,38,28,3,4,14,21
L,36,92,0.391,8,28,0.286,13,15,0.867,16,42,19,9,2,15,23,46,81,0.568,8,24,0.333,14,22,0.636,8,40,29,10,7,16,19
L,45,97,0.464,13,35,0.371,11,14,0.786,13,47,30,3,9,9,18,44,91,0.484,14,35,0.4,17,24,0.708,10,45,30,5,7,7,11
L,41,94,0.436,15,36,0.417,15,16,0.938,8,38,22,5,4,9,15,45,89,0.506,16,40,0.4,19,22,0.864,11,50,24,7,7,10,19
W,51,85,0.6,16,36,0.444,15,21,0.714,4,39,31,12,9,11,18,36,94,0.383,8,37,0.216,15,20,0.75,18,49,25,7,7,17,18
W,40,87,0.46,10,40,0.25,7,10,0.7,7,41,24,6,6,13,14,36,90,0.4,10,32,0.313,13,17,0.765,12,50,26,8,3,12,19
W,39,85,0.459,19,47,0.404,25,34,0.735,9,47,28,6,4,9,24,40,87,0.46,6,28,0.214,19,29,0.655,8,46,27,4,4,10,26
L,38,84,0.452,9,34,0.265,14,15,0.933,11,38,25,12,3,17,18,39,81,0.481,15,42,0.357,19,21,0.905,10,43,26,7,1,20,22
L,48,92,0.522,17,38,0.447,15,18,0.833,10,42,23,7,7,11,26,44,86,0.512,15,33,0.455,27,34,0.794,9,45,31,7,3,13,20
W,46,80,0.575,15,31,0.484,13,17,0.765,6,37,24,9,2,15,17,39,83,0.47,12,31,0.387,13,21,0.619,13,34,30,8,4,18,15
L,43,84,0.512,16,36,0.444,13,16,0.813,3,33,25,8,3,13,24,42,81,0.519,12,34,0.353,27,33,0.818,10,44,29,6,4,11,20
W,40,94,0.426,14,36,0.389,17,18,0.944,10,40,25,8,3,1,10,41,87,0.471,14,41,0.341,10,10,1,7,47,21,0,7,9,19
L,37,85,0.435,15,38,0.395,21,24,0.875,12,44,23,6,7,18,20,41,86,0.477,8,26,0.308,22,25,0.88,10,42,24,9,2,11,20
W,49,89,0.551,15,31,0.484,13,16,0.813,6,49,30,6,3,12,16,37,88,0.42,11,47,0.234,11,15,0.733,7,37,24,7,6,14,16
W,46,87,0.529,10,27,0.37,16,20,0.8,9,50,22,4,6,12,18,42,94,0.447,12,38,0.316,16,22,0.727,14,44,25,7,3,10,18
W,53,95,0.558,11,30,0.367,11,12,0.917,9,45,28,10,3,10,19,32,79,0.405,11,40,0.275,22,31,0.71,11,40,22,4,4,13,18
W,45,77,0.584,12,28,0.429,11,16,0.688,6,41,27,6,5,19,13,41,90,0.456,14,39,0.359,7,12,0.583,11,34,27,12,3,14,17
W,41,92,0.446,13,37,0.351,8,11,0.727,9,45,27,10,5,9,10,40,87,0.46,14,28,0.5,8,8,1,8,45,27,6,5,16,15
L,37,90,0.411,16,41,0.39,13,18,0.722,12,42,27,5,1,10,19,42,86,0.488,18,46,0.391,14,16,0.875,11,48,26,5,3,8,19
W,45,97,0.464,15,28,0.536,16,19,0.842,17,54,32,7,7,10,15,39,90,0.433,17,42,0.405,11,13,0.846,10,39,28,8,9,11,13
W,52,90,0.578,16,44,0.364,9,13,0.692,8,48,37,12,3,15,22,36,80,0.45,12,38,0.316,20,28,0.714,7,33,25,11,1,17,16
W,48,91,0.527,14,34,0.412,21,27,0.778,9,43,29,10,3,13,22,47,90,0.522,17,35,0.486,16,23,0.696,9,42,32,6,2,16,20
L,44,88,0.5,12,34,0.353,8,10,0.8,10,37,30,9,5,15,28,41,85,0.482,8,28,0.286,23,30,0.767,14,45,26,8,7,16,12
W,45,91,0.495,8,30,0.267,12,13,0.923,13,52,25,12,7,10,13,39,88,0.443,11,34,0.324,10,14,0.714,9,37,27,8,4,13,12
L,41,98,0.418,14,43,0.326,15,18,0.833,17,46,25,5,2,11,19,45,89,0.506,24,48,0.5,21,23,0.913,9,45,31,3,6,9,21
W,47,93,0.505,14,28,0.5,5,7,0.714,11,36,28,7,7,8,16,39,78,0.5,12,29,0.414,18,20,0.9,6,37,30,7,7,12,11
W,50,92,0.543,15,36,0.417,11,16,0.688,15,49,32,7,3,10,15,36,76,0.474,12,34,0.353,18,21,0.857,2,31,18,7,3,11,16
W,39,81,0.481,12,31,0.387,14,17,0.824,9,51,26,9,6,20,16,35,82,0.427,11,35,0.314,14,15,0.933,5,34,18,14,6,11,18
W,39,81,0.481,13,25,0.52,10,14,0.714,7,38,28,6,5,13,16,35,85,0.412,10,34,0.294,14,16,0.875,13,45,17,6,5,10,19
W,43,88,0.489,9,29,0.31,24,31,0.774,19,54,27,6,5,14,14,42,89,0.472,13,35,0.371,12,17,0.706,10,36,27,11,4,11,26
W,56,94,0.596,14,31,0.452,8,9,0.889,13,44,36,7,5,10,20,44,81,0.543,15,35,0.429,16,20,0.8,7,30,27,4,2,13,12
W,40,91,0.44,8,26,0.308,18,24,0.75,12,53,26,10,6,17,18,38,91,0.418,6,24,0.25,14,21,0.667,11,42,23,11,4,14,19
W,43,79,0.544,14,27,0.519,21,23,0.913,9,46,32,5,4,18,22,43,93,0.462,9,27,0.333,24,28,0.857,11,38,33,10,2,9,21
L,32,88,0.364,8,34,0.235,15,18,0.833,13,46,23,5,4,9,20,39,87,0.448,7,33,0.212,20,23,0.87,10,52,20,4,7,9,18
L,39,83,0.47,8,26,0.308,21,25,0.84,10,41,23,11,2,19,24,39,81,0.481,18,44,0.409,20,22,0.909,4,36,23,11,3,16,22
W,48,89,0.539,17,36,0.472,10,13,0.769,11,43,32,5,7,10,19,39,79,0.494,13,32,0.406,15,18,0.833,4,30,29,7,8,8,13
W,46,94,0.489,9,31,0.29,27,31,0.871,18,54,22,11,3,9,15,38,86,0.442,11,35,0.314,12,18,0.667,8,35,23,7,3,14,19
W,51,102,0.5,15,39,0.385,22,26,0.846,13,58,30,6,6,24,19,51,107,0.477,17,40,0.425,18,24,0.75,10,47,33,15,3,14,24
W,39,88,0.443,13,39,0.333,15,17,0.882,16,46,24,7,5,13,16,40,87,0.46,12,36,0.333,13,15,0.867,9,41,21,7,2,11,16
L,34,88,0.386,13,46,0.283,16,20,0.8,6,36,26,9,7,9,14,45,84,0.536,15,39,0.385,13,18,0.722,7,52,40,8,4,14,15
W,50,84,0.595,16,37,0.432,13,16,0.813,1,36,36,8,8,14,22,41,82,0.5,15,40,0.375,19,28,0.679,6,35,27,10,1,15,16
W,45,94,0.479,11,33,0.333,19,22,0.864,8,48,25,8,3,11,20,34,81,0.42,4,32,0.125,24,31,0.774,6,45,20,8,6,16,22
W,43,85,0.506,10,32,0.313,18,23,0.783,3,38,26,14,8,18,17,43,87,0.494,12,30,0.4,14,19,0.737,6,42,27,13,5,21,24
W,44,93,0.473,12,35,0.343,21,26,0.808,14,47,22,6,7,11,16,40,83,0.482,16,32,0.5,15,18,0.833,7,36,27,10,6,15,19
W,39,80,0.488,12,32,0.375,20,21,0.952,8,44,26,2,4,10,23,36,83,0.434,14,34,0.412,18,24,0.75,10,39,21,8,3,6,19
L,36,82,0.439,6,24,0.25,11,16,0.688,6,41,22,10,7,12,24,32,73,0.438,13,30,0.433,16,23,0.696,7,43,18,5,8,20,20
W,37,97,0.381,12,39,0.308,27,33,0.818,17,63,23,13,7,13,24,33,86,0.384,13,35,0.371,18,27,0.667,6,42,18,6,10,15,24
L,43,83,0.518,17,38,0.447,17,20,0.85,9,38,31,8,3,17,16,43,89,0.483,21,46,0.457,20,23,0.87,9,38,27,9,3,10,20
L,42,92,0.457,14,41,0.341,21,23,0.913,10,33,21,8,1,12,23,41,66,0.621,16,31,0.516,27,33,0.818,2,35,27,10,5,17,24
W,41,83,0.494,13,33,0.394,22,26,0.846,10,38,26,12,2,17,19,42,91,0.462,11,39,0.282,17,20,0.85,15,49,30,9,5,17,17
W,46,96,0.479,12,36,0.333,10,11,0.909,14,53,30,6,3,12,25,34,80,0.425,16,41,0.39,19,32,0.594,11,43,20,3,5,15,17
W,42,86,0.488,9,32,0.281,11,14,0.786,9,49,29,6,3,11,17,34,83,0.41,6,37,0.162,17,23,0.739,9,41,21,6,8,9,13
L,44,98,0.449,14,37,0.378,14,15,0.933,10,36,20,8,2,6,20,46,87,0.529,18,43,0.419,22,26,0.846,11,51,24,3,6,13,16
W,42,80,0.525,19,42,0.452,10,20,0.5,8,45,30,13,7,24,17,38,89,0.427,14,46,0.304,9,12,0.75,7,35,26,10,5,20,22
L,31,78,0.397,10,35,0.286,26,33,0.788,11,41,18,8,2,19,20,38,75,0.507,16,37,0.432,19,23,0.826,4,35,29,11,2,17,25
W,36,94,0.383,5,24,0.208,21,29,0.724,13,56,15,11,4,8,16,38,89,0.427,11,36,0.306,8,8,1,4,47,26,5,10,15,23
L,37,77,0.481,3,24,0.125,9,18,0.5,7,41,18,8,3,16,14,37,84,0.44,19,47,0.404,18,19,0.947,12,43,24,7,4,10,18
W,44,91,0.484,13,36,0.361,12,19,0.632,14,58,23,9,4,13,16,30,80,0.375,15,48,0.313,5,15,0.333,7,40,24,6,3,19,20
W,35,83,0.422,14,38,0.368,36,47,0.766,14,50,26,6,7,12,18,38,91,0.418,14,48,0.292,26,27,0.963,10,40,21,6,4,9,29
L,44,101,0.436,9,27,0.333,19,24,0.792,16,57,26,5,4,18,20,45,93,0.484,19,45,0.422,9,13,0.692,5,42,32,10,8,14,27
L,44,89,0.494,4,22,0.182,18,23,0.783,9,52,25,11,0,15,18,40,87,0.46,19,46,0.413,12,16,0.75,4,38,28,10,5,14,18
L,38,77,0.494,15,38,0.395,19,26,0.731,10,36,29,6,4,19,17,41,87,0.471,16,42,0.381,20,25,0.8,16,45,33,10,4,14,20
L,42,88,0.477,10,28,0.357,12,16,0.75,12,48,18,4,4,9,19,35,74,0.473,18,37,0.486,23,27,0.852,3,36,26,4,6,10,16
L,41,86,0.477,9,29,0.31,4,8,0.5,10,47,22,3,5,20,21,39,93,0.419,15,37,0.405,19,26,0.731,13,44,31,11,6,6,16
W,45,85,0.529,11,22,0.5,27,34,0.794,14,48,24,5,1,13,15,47,91,0.516,13,39,0.333,16,18,0.889,8,33,23,7,7,10,24
L,43,95,0.453,6,26,0.231,10,15,0.667,10,38,17,8,3,8,15,43,85,0.506,21,47,0.447,11,17,0.647,11,54,28,4,7,14,17
L,42,85,0.494,11,25,0.44,23,30,0.767,10,41,27,9,2,17,19,44,88,0.5,17,39,0.436,24,25,0.96,8,39,27,8,8,15,27
L,40,87,0.46,10,33,0.303,20,28,0.714,10,42,21,5,4,20,24,39,91,0.429,12,34,0.353,30,37,0.811,14,50,23,14,4,11,22
W,46,89,0.517,17,43,0.395,15,24,0.625,12,50,27,7,4,14,17,37,92,0.402,13,38,0.342,19,21,0.905,11,39,29,11,2,11,20
W,45,96,0.469,21,48,0.438,20,28,0.714,12,45,32,7,3,9,16,48,96,0.5,13,35,0.371,17,22,0.773,12,49,29,5,5,12,19
L,41,91,0.451,12,41,0.293,18,29,0.621,10,48,27,11,7,14,14,45,92,0.489,20,46,0.435,16,20,0.8,7,45,32,8,5,14,24
L,40,101,0.396,9,30,0.3,20,24,0.833,17,46,22,11,5,10,22,42,88,0.477,14,43,0.326,20,26,0.769,13,52,31,3,8,20,18
W,46,90,0.511,14,33,0.424,17,21,0.81,12,44,30,7,3,7,20,38,82,0.463,8,35,0.229,17,20,0.85,11,39,26,3,6,14,18
W,41,76,0.539,13,25,0.52,19,26,0.731,11,50,23,5,6,19,17,41,93,0.441,20,42,0.476,11,16,0.688,10,37,31,9,6,10,21
W,45,87,0.517,15,33,0.455,13,21,0.619,8,42,27,3,9,7,15,40,90,0.444,13,39,0.333,16,19,0.842,11,45,27,5,5,9,17
W,47,92,0.511,12,31,0.387,24,28,0.857,15,55,31,7,6,9,20,38,91,0.418,13,43,0.302,12,21,0.571,12,37,24,5,4,12,23
L,41,81,0.506,13,36,0.361,21,26,0.808,9,35,27,11,1,12,12,48,81,0.593,25,47,0.532,8,11,0.727,7,35,36,4,6,16,20
L,48,90,0.533,17,37,0.459,17,23,0.739,9,38,31,5,3,9,19,51,88,0.58,25,45,0.556,16,21,0.762,5,37,30,4,2,6,22
L,40,90,0.444,9,35,0.257,23,28,0.821,18,44,23,5,2,10,17,45,84,0.536,17,35,0.486,16,20,0.8,9,37,34,3,8,11,23
W,56,91,0.615,19,38,0.5,13,17,0.765,11,47,33,14,4,19,19,42,88,0.477,13,31,0.419,16,18,0.889,9,32,23,10,0,19,18
L,43,89,0.483,15,32,0.469,23,29,0.793,18,51,25,5,1,11,15,46,90,0.511,18,41,0.439,16,18,0.889,7,31,26,6,7,9,19
L,42,82,0.512,11,32,0.344,19,24,0.792,6,37,28,11,3,13,16,51,88,0.58,22,39,0.564,8,12,0.667,4,37,38,8,4,13,17
W,42,94,0.447,11,36,0.306,25,37,0.676,12,52,22,5,7,13,24,39,98,0.398,10,37,0.27,27,34,0.794,11,49,22,9,11,10,30
W,50,90,0.556,10,23,0.435,18,29,0.621,12,45,31,10,6,12,10,47,89,0.528,13,36,0.361,11,16,0.688,9,38,31,8,6,13,23
L,51,102,0.5,13,39,0.333,10,14,0.714,12,47,32,5,4,9,17,52,96,0.542,13,31,0.419,12,16,0.75,8,42,21,4,8,9,13
L,40,91,0.44,9,32,0.281,25,31,0.806,17,52,27,3,2,10,17,41,86,0.477,12,32,0.375,23,28,0.821,8,38,24,7,5,8,26
W,52,92,0.565,7,11,0.636,18,23,0.783,10,53,27,5,5,13,15,46,101,0.455,17,43,0.395,15,18,0.833,11,39,26,11,7,8,22
L,46,83,0.554,6,22,0.273,26,38,0.684,7,35,29,10,6,11,19,48,94,0.511,12,28,0.429,20,22,0.909,13,45,28,6,8,14,21
L,33,84,0.393,11,43,0.256,16,20,0.8,15,44,28,5,3,12,21,36,73,0.493,10,30,0.333,21,25,0.84,5,41,27,6,3,10,20
L,43,100,0.43,6,32,0.188,13,24,0.542,19,51,28,7,6,18,18,51,95,0.537,19,40,0.475,14,16,0.875,7,38,28,11,10,11,20
W,47,101,0.465,6,24,0.25,16,19,0.842,19,70,25,2,7,13,18,30,88,0.341,7,32,0.219,15,20,0.75,5,33,13,8,9,6,18
W,53,81,0.654,12,26,0.462,17,21,0.81,4,40,38,8,1,18,16,42,92,0.457,15,43,0.349,16,19,0.842,9,32,23,12,2,12,17
L,46,88,0.523,16,33,0.485,16,20,0.8,10,41,38,8,3,16,24,38,73,0.521,18,43,0.419,31,31,1,4,32,20,8,8,17,19
L,33,83,0.398,10,37,0.27,17,25,0.68,10,44,24,6,5,12,19,33,87,0.379,14,43,0.326,21,25,0.84,14,50,11,8,8,13,19
W,41,85,0.482,8,28,0.286,23,30,0.767,14,45,26,8,7,16,12,44,88,0.5,12,34,0.353,8,10,0.8,10,37,30,9,5,15,28
W,47,90,0.522,10,29,0.345,24,26,0.923,11,53,28,9,3,13,24,36,85,0.424,18,37,0.486,21,30,0.7,6,34,25,10,4,13,17
L,39,78,0.5,12,29,0.414,18,20,0.9,6,37,30,7,7,12,11,47,93,0.505,14,28,0.5,5,7,0.714,11,36,28,7,7,8,16
W,42,81,0.519,9,26,0.346,19,29,0.655,8,42,20,2,5,6,18,37,83,0.446,10,31,0.323,19,24,0.792,10,38,19,2,4,7,20
W,41,82,0.5,16,31,0.516,17,30,0.567,8,47,30,8,2,14,21,40,93,0.43,14,43,0.326,15,19,0.789,12,46,21,5,9,14,25
L,41,93,0.441,12,29,0.414,16,19,0.842,12,55,26,7,7,24,23,45,106,0.425,5,25,0.2,20,23,0.87,12,48,20,17,5,10,20
L,38,88,0.432,8,29,0.276,19,23,0.826,5,34,22,7,6,15,18,49,87,0.563,13,29,0.448,15,21,0.714,6,42,25,10,9,15,23
W,42,91,0.462,16,37,0.432,22,35,0.629,16,55,26,12,9,15,27,41,89,0.461,16,40,0.4,17,24,0.708,9,48,25,3,3,17,24
L,37,91,0.407,12,38,0.316,21,28,0.75,16,49,24,7,7,14,15,44,88,0.5,20,31,0.645,15,22,0.682,10,42,24,7,6,11,23
L,38,89,0.427,6,27,0.222,29,39,0.744,17,40,23,9,2,14,14,51,92,0.554,19,41,0.463,18,22,0.818,10,45,37,10,8,17,31
W,39,90,0.433,4,22,0.182,19,30,0.633,10,56,22,11,7,12,17,33,79,0.418,11,31,0.355,17,24,0.708,4,47,20,8,5,19,23
W,44,86,0.512,7,24,0.292,21,26,0.808,14,50,30,9,3,16,16,41,85,0.482,13,40,0.325,14,17,0.824,9,36,29,7,5,17,23
W,42,77,0.545,6,19,0.316,27,39,0.692,9,51,24,8,5,21,23,39,90,0.433,10,35,0.286,22,37,0.595,8,34,21,14,3,10,26
L,40,88,0.455,6,28,0.214,20,24,0.833,9,49,25,3,5,9,12,44,97,0.454,17,33,0.515,11,13,0.846,11,48,19,6,5,6,17
L,40,97,0.412,7,28,0.25,28,33,0.848,11,56,26,11,7,15,22,45,96,0.469,4,27,0.148,23,32,0.719,3,46,24,5,7,13,24
L,41,101,0.406,6,27,0.222,24,30,0.8,20,52,25,6,4,12,16,45,95,0.474,11,29,0.379,21,24,0.875,13,49,27,9,6,13,26
L,51,91,0.56,12,33,0.364,15,24,0.625,7,37,28,5,2,13,21,49,89,0.551,14,37,0.378,22,28,0.786,10,44,30,7,2,13,21
W,50,90,0.556,12,28,0.429,23,26,0.885,12,58,34,2,3,14,16,36,98,0.367,13,36,0.361,15,19,0.789,13,40,13,6,6,4,18
L,41,87,0.471,9,22,0.409,17,32,0.531,10,48,20,12,1,19,24,37,85,0.435,9,31,0.29,27,32,0.844,9,46,22,9,8,17,23
W,44,82,0.537,15,29,0.517,17,26,0.654,8,44,28,13,5,16,18,36,90,0.4,14,45,0.311,17,17,1,13,44,20,5,5,18,23
